field_type,Categorical,Location,Numeric,Numeric,Numeric,Numeric,Numeric
description,Area of sampling,Point in the SAFE landscape,Top canopy height,Top canopy height standard deviation,Gap fraction,Aboveground biomass,LiDAR ground coverage
levels,SAFE; Maliau,,,,,,
units,,,metres,metres,metres,grams2,ratio
method,,,LiDAR,LiDAR,LiDAR,LiDAR,LiDAR
field_name,Location,ID,tch,tch_sd,gf,agb,coverage
173,SAFE,C_117,19.20937419,9.071459831,0.091368526,70.47243605,0.999749812
174,SAFE,C_118,14.61074671,8.734955557,0.296672504,44.83017587,0.999699775
175,SAFE,C_119,15.23844314,8.969381518,0.318522966,48.05831318,0.999724807
176,SAFE,C_120,11.95569088,8.905125662,0.468312943,32.18060688,0.999474593
177,SAFE,C_121,8.058264942,11.36835568,0.734106937,16.76383436,0.994222978
178,SAFE,C_122,6.780936491,7.098594964,0.729695241,12.60302447,0.994019917
179,SAFE,C_123,5.807254329,7.182168166,0.783162372,9.75425097,0.994721041
180,SAFE,C_124,4.063732403,7.101804575,0.877686323,5.406258379,0.995096445
181,SAFE,C_125,4.622177526,6.131510551,0.846788922,6.688633792,0.994921318
182,SAFE,C_126,5.529574482,7.606317908,0.806474208,8.995361539,0.995021764
183,SAFE,C_127,10.51482676,8.799594882,0.482976009,26.02554617,0.998448953
184,SAFE,C_128,9.363313057,10.79100188,0.616629562,21.48482724,0.997098332
185,SAFE,C_129,8.678122567,7.489273028,0.5445334,18.94851838,0.998223668
186,SAFE,C_130,6.330290015,6.544152721,0.726544909,11.24876676,0.997623217
187,SAFE,C_131,7.575096074,6.304356862,0.685931597,15.13503983,0.996947634
188,SAFE,C_132,10.83011381,7.679831166,0.466234644,27.32812699,0.998148472
189,SAFE,C_133,3.771241247,6.036038562,0.836964951,4.778271417,0.991944563
190,SAFE,C_134,4.466859705,7.528739387,0.826305522,6.321194479,0.989745898
191,SAFE,C_135,3.753877887,6.135783468,0.839829872,4.741959395,0.994370778
192,SAFE,C_136,4.162911284,5.642656106,0.801736215,5.626101237,0.991118783
193,SAFE,C_137,2.71152854,5.000805144,0.901206146,2.769741664,0.991717131
194,SAFE,C_138,4.202569419,5.637297175,0.807430573,5.71497507,0.992469352
195,SAFE,C_139,7.519535982,6.603038533,0.66264608,14.95197705,0.992667851
196,SAFE,C_140,7.776476951,7.412795141,0.628311942,15.80591195,0.992644299
197,SAFE,C_141,6.641380048,6.618098439,0.697028812,12.17714813,0.991196479
198,SAFE,C_142,6.843316275,6.583127551,0.682312908,12.79525132,0.996622213
199,SAFE,C_143,6.697061364,7.098142931,0.68841468,12.34637401,0.995146724
200,SAFE,C_144,6.073025826,6.591459845,0.699897456,10.503151,0.995147938
201,SAFE,C_612,4.540580556,7.06635888,0.811255628,6.494575169,0.992471236
202,SAFE,C_613,7.113635721,8.018255027,0.694376345,13.64147302,0.990293691
203,SAFE,C_614,7.423003251,6.68872066,0.642665933,14.63601199,0.995171499
204,SAFE,C_615,10.55478766,7.256779864,0.515268226,26.18924866,0.996948856
205,SAFE,C_616,14.15565671,7.121648181,0.232539524,42.54550619,0.999224535
206,SAFE,C_617,17.16295287,8.527801383,0.154069404,58.49927382,0.999924942
207,SAFE,C_618,20.0430752,6.652754174,0.049959972,75.59965133,1
208,SAFE,C_619,13.63803769,9.37705721,0.38497911,40.00465755,0.999574692
209,SAFE,C_620,7.074573658,7.564421177,0.721712156,13.51787007,0.994371201
210,SAFE,C_621,5.291340148,7.862205259,0.829402496,8.363777857,0.995373034
211,SAFE,C_622,10.06539739,9.708826458,0.524170545,24.21250195,0.998373618
212,SAFE,C_623,8.458497454,6.666644758,0.593123639,18.16237646,0.997522709
